date,browser,visits
2016-05-21,Safari,12372
2016-05-21,Chrome,5142
2016-05-21,Internet Explorer,1591
2016-05-21,Firefox,791
2016-05-21,Edge,466
2016-05-21,Amazon Silk,322
2016-05-21,Android Browser,283
2016-05-21,Safari (in-app),74
2016-05-21,Opera Mini,36
2016-05-21,BlackBerry,29
2016-05-21,Opera,28
2016-05-21,UC Browser,16
2016-05-21,Mozilla Compatible Agent,2
2016-05-21,SeaMonkey,2
2016-05-21,YaBrowser,2
2016-05-21,(not set),1
2016-05-21,AdobeAIR,1
2016-05-21,Coc Coc,1
2016-05-22,Safari,12629
2016-05-22,Chrome,5158
2016-05-22,Internet Explorer,1297
2016-05-22,Firefox,758
2016-05-22,Edge,478
2016-05-22,Amazon Silk,329
2016-05-22,Android Browser,268
2016-05-22,Safari (in-app),99
2016-05-22,Opera,37
2016-05-22,Opera Mini,30
2016-05-22,BlackBerry,24
2016-05-22,UC Browser,8
2016-05-22,SeaMonkey,7
2016-05-22,Mozilla Compatible Agent,3
2016-05-22,AdobeAIR,2
2016-05-22,Maxthon,2
2016-05-22,NokiaC3-00,2
2016-05-22,IE with Chrome Frame,1
2016-05-22,Nokia Browser,1
2016-05-22,Mozilla,0
2016-05-23,Safari,11224
2016-05-23,Chrome,6789
2016-05-23,Internet Explorer,5324
2016-05-23,Firefox,943
2016-05-23,Edge,567
2016-05-23,Amazon Silk,250
2016-05-23,Android Browser,235
2016-05-23,Safari (in-app),111
2016-05-23,Opera Mini,44
2016-05-23,Opera,40
2016-05-23,BlackBerry,23
2016-05-23,UC Browser,16
2016-05-23,IE with Chrome Frame,14
2016-05-23,Mozilla Compatible Agent,10
2016-05-23,Maxthon,4
2016-05-23,Coc Coc,3
2016-05-23,(not set),2
2016-05-23,AdobeAIR,2
2016-05-23,SeaMonkey,2
2016-05-23,Nokia Browser,1
2016-05-24,Safari,11593
2016-05-24,Chrome,6742
2016-05-24,Internet Explorer,5580
2016-05-24,Firefox,921
2016-05-24,Edge,554
2016-05-24,Android Browser,239
2016-05-24,Amazon Silk,236
2016-05-24,Safari (in-app),123
2016-05-24,Opera Mini,55
2016-05-24,Opera,46
2016-05-24,BlackBerry,31
2016-05-24,IE with Chrome Frame,16
2016-05-24,UC Browser,16
2016-05-24,Mozilla Compatible Agent,3
2016-05-24,SeaMonkey,3
2016-05-24,AdobeAIR,2
2016-05-24,Maxthon,2
2016-05-24,Mozilla,2
2016-05-24,YaBrowser,2
2016-05-24,Coc Coc,1
2016-05-25,Safari,11684
2016-05-25,Chrome,6798
2016-05-25,Internet Explorer,5455
2016-05-25,Firefox,970
2016-05-25,Edge,564
2016-05-25,Android Browser,257
2016-05-25,Amazon Silk,246
2016-05-25,Safari (in-app),207
2016-05-25,Opera Mini,55
2016-05-25,BlackBerry,33
2016-05-25,Opera,31
2016-05-25,UC Browser,16
2016-05-25,IE with Chrome Frame,13
2016-05-25,SeaMonkey,4
2016-05-25,(not set),2
2016-05-25,Mozilla Compatible Agent,2
2016-05-25,AdobeAIR,1
2016-05-25,Maxthon,1
2016-05-25,YaBrowser,1
2016-05-25,Mozilla,0
2016-05-26,Safari,15071
2016-05-26,Chrome,8480
2016-05-26,Internet Explorer,6399
2016-05-26,Firefox,1244
2016-05-26,Safari (in-app),824
2016-05-26,Edge,637
2016-05-26,Android Browser,313
2016-05-26,Amazon Silk,289
2016-05-26,Opera Mini,54
2016-05-26,Opera,51
2016-05-26,BlackBerry,38
2016-05-26,UC Browser,20
2016-05-26,IE with Chrome Frame,17
2016-05-26,Mozilla Compatible Agent,10
2016-05-26,SeaMonkey,5
2016-05-26,AdobeAIR,2
2016-05-26,Coc Coc,2
2016-05-26,BREW-Applet,1
2016-05-26,Dolfin,1
2016-05-27,Safari,12260
2016-05-27,Chrome,6922
2016-05-27,Internet Explorer,5308
2016-05-27,Firefox,962
2016-05-27,Edge,498
2016-05-27,Safari (in-app),414
2016-05-27,Android Browser,265
2016-05-27,Amazon Silk,255
2016-05-27,Opera,43
2016-05-27,BlackBerry,35
2016-05-27,Opera Mini,30
2016-05-27,UC Browser,18
2016-05-27,IE with Chrome Frame,13
2016-05-27,SeaMonkey,8
2016-05-27,Mozilla Compatible Agent,4
2016-05-27,YE,3
2016-05-27,AdobeAIR,2
2016-05-27,YaBrowser,2
2016-05-27,Iron,1
2016-05-27,MRCHROME,1
2016-05-27,Mozilla,0
2016-05-28,Safari,12660
2016-05-28,Chrome,5175
2016-05-28,Internet Explorer,1321
2016-05-28,Firefox,680
2016-05-28,Edge,427
2016-05-28,Safari (in-app),402
2016-05-28,Amazon Silk,292
2016-05-28,Android Browser,271
2016-05-28,Opera Mini,42
2016-05-28,BlackBerry,36
2016-05-28,Opera,32
2016-05-28,UC Browser,24
2016-05-28,Coc Coc,3
2016-05-28,SeaMonkey,3
2016-05-28,AdobeAIR,2
2016-05-28,IE with Chrome Frame,2
2016-05-28,Maxthon,2
2016-05-28,Mozilla Compatible Agent,2
2016-05-28,Easy-Thumb,1
2016-05-28,Playstation Vita Browser,1
2016-05-29,Safari,10885
2016-05-29,Chrome,4319
2016-05-29,Internet Explorer,986
2016-05-29,Firefox,539
2016-05-29,Edge,353
2016-05-29,Amazon Silk,275
2016-05-29,Android Browser,242
2016-05-29,Safari (in-app),226
2016-05-29,Opera Mini,33
2016-05-29,Opera,26
2016-05-29,BlackBerry,24
2016-05-29,UC Browser,15
2016-05-29,AdobeAIR,3
2016-05-29,Maxthon,3
2016-05-29,YaBrowser,3
2016-05-29,Mozilla Compatible Agent,2
2016-05-29,SeaMonkey,2
2016-05-29,IE with Chrome Frame,1
2016-05-29,YE,1
2016-05-30,Safari,12084
2016-05-30,Chrome,5155
2016-05-30,Internet Explorer,1310
2016-05-30,Firefox,734
2016-05-30,Edge,443
2016-05-30,Safari (in-app),282
2016-05-30,Amazon Silk,274
2016-05-30,Android Browser,257
2016-05-30,Opera Mini,42
2016-05-30,BlackBerry,33
2016-05-30,UC Browser,26
2016-05-30,Opera,25
2016-05-30,Mozilla Compatible Agent,10
2016-05-30,AdobeAIR,3
2016-05-30,SeaMonkey,3
2016-05-30,(not set),1
2016-05-30,Coc Coc,1
2016-05-30,MRCHROME,1
2016-05-30,Nintendo Browser,1
2016-05-30,YE,1
2016-05-30,YaBrowser,1
2016-05-30,Mozilla,0
2016-05-31,Safari,13522
2016-05-31,Chrome,7757
2016-05-31,Internet Explorer,5771
2016-05-31,Firefox,1129
2016-05-31,Edge,649
2016-05-31,Amazon Silk,324
2016-05-31,Android Browser,290
2016-05-31,Safari (in-app),225
2016-05-31,Opera,56
2016-05-31,Opera Mini,52
2016-05-31,BlackBerry,25
2016-05-31,IE with Chrome Frame,15
2016-05-31,UC Browser,15
2016-05-31,SeaMonkey,4
2016-05-31,Maxthon,3
2016-05-31,Mozilla Compatible Agent,3
2016-05-31,Coc Coc,1
2016-05-31,Dolfin,1
2016-05-31,YaBrowser,1
2016-06-01,Safari,12293
2016-06-01,Chrome,7047
2016-06-01,Internet Explorer,5093
2016-06-01,Firefox,1000
2016-06-01,Edge,621
2016-06-01,Safari (in-app),404
2016-06-01,Amazon Silk,282
2016-06-01,Android Browser,265
2016-06-01,Opera,43
2016-06-01,Opera Mini,40
2016-06-01,BlackBerry,25
2016-06-01,UC Browser,23
2016-06-01,IE with Chrome Frame,18
2016-06-01,SeaMonkey,5
2016-06-01,AdobeAIR,2
2016-06-01,Maxthon,2
2016-06-01,Mozilla Compatible Agent,2
2016-06-01,Playstation 3,2
2016-06-01,Playstation Vita Browser,2
2016-06-01,Coc Coc,1
2016-06-01,Dolfin,1
2016-06-01,Iron,1
2016-06-01,Nokia Browser,1
2016-06-01,YaBrowser,1
2016-06-01,Mozilla,0
2016-06-02,Safari,11957
2016-06-02,Chrome,6726
2016-06-02,Internet Explorer,5233
2016-06-02,Firefox,994
2016-06-02,Edge,524
2016-06-02,Safari (in-app),356
2016-06-02,Android Browser,251
2016-06-02,Amazon Silk,249
2016-06-02,Opera,45
2016-06-02,Opera Mini,37
2016-06-02,IE with Chrome Frame,20
2016-06-02,UC Browser,16
2016-06-02,BlackBerry,12
2016-06-02,(not set),3
2016-06-02,AdobeAIR,3
2016-06-02,Maxthon,3
2016-06-02,SeaMonkey,3
2016-06-02,YaBrowser,3
2016-06-02,Mozilla Compatible Agent,1
2016-06-02,ThumbSniper,1
2016-06-02,semanticbot,1
2016-06-03,Safari,10894
2016-06-03,Chrome,5907
2016-06-03,Internet Explorer,4568
2016-06-03,Firefox,834
2016-06-03,Edge,532
2016-06-03,Amazon Silk,220
2016-06-03,Android Browser,200
2016-06-03,Safari (in-app),156
2016-06-03,Opera,60
2016-06-03,Opera Mini,36
2016-06-03,BlackBerry,22
2016-06-03,IE with Chrome Frame,19
2016-06-03,UC Browser,14
2016-06-03,SeaMonkey,4
2016-06-03,AdobeAIR,3
2016-06-03,YaBrowser,3
2016-06-03,(not set),1
2016-06-03,Coc Coc,1
2016-06-03,Iron,1
2016-06-03,Maxthon,1
2016-06-03,NetFront,1
2016-06-03,Nokia Browser,1
2016-06-04,Safari,9960
2016-06-04,Chrome,4076
2016-06-04,Internet Explorer,1186
2016-06-04,Firefox,555
2016-06-04,Edge,395
2016-06-04,Android Browser,185
2016-06-04,Amazon Silk,165
2016-06-04,Safari (in-app),95
2016-06-04,Opera Mini,33
2016-06-04,Opera,32
2016-06-04,BlackBerry,27
2016-06-04,UC Browser,10
2016-06-04,Maxthon,3
2016-06-04,IE with Chrome Frame,2
2016-06-04,Mozilla Compatible Agent,2
2016-06-04,AdobeAIR,1
2016-06-04,Coc Coc,1
2016-06-04,SeaMonkey,1
2016-06-04,Mozilla,0
2016-06-05,Safari,11193
2016-06-05,Chrome,4392
2016-06-05,Internet Explorer,1058
2016-06-05,Firefox,576
2016-06-05,Edge,437
2016-06-05,Amazon Silk,251
2016-06-05,Android Browser,229
2016-06-05,Safari (in-app),100
2016-06-05,Opera,38
2016-06-05,Opera Mini,32
2016-06-05,BlackBerry,23
2016-06-05,UC Browser,12
2016-06-05,(not set),2
2016-06-05,IE with Chrome Frame,2
2016-06-05,Maxthon,2
2016-06-05,Nokia Browser,2
2016-06-05,SeaMonkey,2
2016-06-05,YaBrowser,2
2016-06-05,Coc Coc,1
2016-06-05,Mozilla Compatible Agent,1
2016-06-06,Safari,12906
2016-06-06,Chrome,7249
2016-06-06,Internet Explorer,5343
2016-06-06,Firefox,933
2016-06-06,Edge,635
2016-06-06,Amazon Silk,250
2016-06-06,Android Browser,245
2016-06-06,Safari (in-app),170
2016-06-06,Opera Mini,45
2016-06-06,Opera,40
2016-06-06,BlackBerry,24
2016-06-06,IE with Chrome Frame,21
2016-06-06,UC Browser,20
2016-06-06,SeaMonkey,4
2016-06-06,Maxthon,3
2016-06-06,Coc Coc,1
2016-06-06,Mozilla Compatible Agent,1
2016-06-06,Nokia Browser,1
2016-06-06,YaBrowser,1
2016-06-06,Mozilla,0
2016-06-07,Safari,13735
2016-06-07,Chrome,7337
2016-06-07,Internet Explorer,5711
2016-06-07,Firefox,1063
2016-06-07,Edge,637
2016-06-07,Android Browser,278
2016-06-07,Amazon Silk,250
2016-06-07,Safari (in-app),183
2016-06-07,Opera Mini,55
2016-06-07,Opera,39
2016-06-07,BlackBerry,24
2016-06-07,IE with Chrome Frame,22
2016-06-07,UC Browser,18
2016-06-07,SeaMonkey,4
2016-06-07,Coc Coc,3
2016-06-07,Maxthon,2
2016-06-07,Nokia Browser,1
2016-06-08,Safari,13498
2016-06-08,Chrome,7183
2016-06-08,Internet Explorer,5702
2016-06-08,Firefox,958
2016-06-08,Edge,601
2016-06-08,Amazon Silk,263
2016-06-08,Android Browser,258
2016-06-08,Safari (in-app),121
2016-06-08,Opera Mini,47
2016-06-08,BlackBerry,34
2016-06-08,Opera,34
2016-06-08,UC Browser,24
2016-06-08,IE with Chrome Frame,15
2016-06-08,SeaMonkey,4
2016-06-08,Nokia Browser,2
2016-06-08,Maxthon,1
2016-06-08,YaBrowser,1
2016-06-09,Safari,13074
2016-06-09,Chrome,7276
2016-06-09,Internet Explorer,5625
2016-06-09,Firefox,1022
2016-06-09,Edge,622
