date,browser_version,visits
2016-05-21,11.0,1356
2016-05-21,10.0,84
2016-05-21,9.0,60
2016-05-21,7.0,58
2016-05-21,8.0,33
2016-05-22,11.0,1125
2016-05-22,9.0,58
2016-05-22,10.0,46
2016-05-22,7.0,44
2016-05-22,8.0,24
2016-05-23,11.0,3706
2016-05-23,7.0,906
2016-05-23,10.0,351
2016-05-23,8.0,181
2016-05-23,9.0,178
2016-05-23,6.0,2
2016-05-24,11.0,3768
2016-05-24,7.0,1095
2016-05-24,10.0,357
2016-05-24,8.0,194
2016-05-24,9.0,163
2016-05-24,6.0,3
2016-05-25,11.0,3828
2016-05-25,7.0,944
2016-05-25,10.0,340
2016-05-25,8.0,188
2016-05-25,9.0,153
2016-05-25,6.0,2
2016-05-26,11.0,4557
2016-05-26,7.0,1013
2016-05-26,10.0,454
2016-05-26,9.0,192
2016-05-26,8.0,181
2016-05-26,6.0,2
2016-05-27,11.0,3699
2016-05-27,7.0,879
2016-05-27,10.0,373
2016-05-27,8.0,189
2016-05-27,9.0,166
2016-05-27,6.0,2
2016-05-28,11.0,1132
2016-05-28,9.0,63
2016-05-28,7.0,52
2016-05-28,10.0,48
2016-05-28,8.0,26
2016-05-29,11.0,828
2016-05-29,10.0,51
2016-05-29,7.0,47
2016-05-29,9.0,37
2016-05-29,8.0,23
2016-05-30,11.0,1109
2016-05-30,10.0,59
2016-05-30,7.0,58
2016-05-30,9.0,50
2016-05-30,8.0,34
2016-05-31,11.0,4061
2016-05-31,7.0,1018
2016-05-31,10.0,341
2016-05-31,8.0,178
2016-05-31,9.0,169
2016-05-31,6.0,4
2016-06-01,11.0,3448
2016-06-01,7.0,1012
2016-06-01,10.0,303
2016-06-01,9.0,176
2016-06-01,8.0,154
2016-06-02,11.0,3600
2016-06-02,7.0,980
2016-06-02,10.0,326
2016-06-02,8.0,173
2016-06-02,9.0,152
2016-06-02,6.0,2
2016-06-03,11.0,3148
2016-06-03,7.0,832
2016-06-03,10.0,316
2016-06-03,9.0,154
2016-06-03,8.0,114
2016-06-03,6.0,4
2016-06-04,11.0,1029
2016-06-04,7.0,56
2016-06-04,10.0,40
2016-06-04,9.0,39
2016-06-04,8.0,22
2016-06-05,11.0,889
2016-06-05,7.0,57
2016-06-05,9.0,53
2016-06-05,10.0,40
2016-06-05,8.0,19
2016-06-06,11.0,3700
2016-06-06,7.0,975
2016-06-06,10.0,333
2016-06-06,9.0,169
2016-06-06,8.0,163
2016-06-06,6.0,3
2016-06-07,11.0,3951
2016-06-07,7.0,1048
2016-06-07,10.0,338
2016-06-07,8.0,186
2016-06-07,9.0,185
2016-06-07,6.0,3
2016-06-08,11.0,4004
2016-06-08,7.0,944
2016-06-08,10.0,386
2016-06-08,8.0,194
2016-06-08,9.0,170
2016-06-08,6.0,4
2016-06-09,11.0,3860
2016-06-09,7.0,1035
2016-06-09,10.0,380
2016-06-09,8.0,182
2016-06-09,9.0,168
2016-06-10,11.0,3573
2016-06-10,7.0,910
2016-06-10,10.0,295
2016-06-10,8.0,164
2016-06-10,9.0,163
