domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,exits
www.gov.je,783366,253549,4227382,5.396432829609659,133.9977941345425,782470
translate.googleusercontent.com,111,90,1391,12.531531531531531,310.4144144144144,111
labtest.gov.je,56,36,624,11.142857142857142,325.05357142857144,63
www.gov.je.googleweblight.com,43,43,156,3.627906976744186,152.69767441860466,43
(not set),25,20,65,2.6,478.36,23
webcache.googleusercontent.com,22,22,52,2.3636363636363638,17.40909090909091,22
www.world-check.com,11,11,11,1.0,0.0,11
sp-govjedev,9,2,417,46.333333333333336,1132.111111111111,9
web.archive.org,7,4,23,3.2857142857142856,69.57142857142857,7
govtest.je,5,5,11,2.2,0.0,5
127.0.0.1,4,4,7,1.75,0.0,4
131.253.14.125,4,4,18,4.5,31.0,4
budurl.me,4,4,7,1.75,0.0,4
lpo,4,2,20,5.0,14.75,4
rms-world-check-one.thomsonreuters.com,4,4,4,1.0,0.0,4
www.jerseyreds.je,4,4,4,1.0,0.0,4
controller.access.network,2,2,4,2.0,0.0,2
fanyi.myyoudao.com,2,2,4,2.0,0.0,2
now.barclays.com,2,2,4,2.0,548.0,0
translate.baiducontent.com,2,2,4,2.0,0.0,2
