date,device,visits
2016-05-21,desktop,6183
2016-05-21,mobile,9099
2016-05-21,tablet,5877
2016-05-22,desktop,5952
2016-05-22,mobile,9128
2016-05-22,tablet,6053
2016-05-23,desktop,11787
2016-05-23,mobile,9201
2016-05-23,tablet,4616
2016-05-24,desktop,11971
2016-05-24,mobile,9617
2016-05-24,tablet,4579
2016-05-25,desktop,11878
2016-05-25,mobile,9733
2016-05-25,tablet,4729
2016-05-26,desktop,14238
2016-05-26,mobile,12938
2016-05-26,tablet,6282
2016-05-27,desktop,11492
2016-05-27,mobile,10526
2016-05-27,tablet,5026
2016-05-28,desktop,5371
2016-05-28,mobile,10251
2016-05-28,tablet,5756
2016-05-29,desktop,4300
2016-05-29,mobile,8705
2016-05-29,tablet,4933
2016-05-30,desktop,5757
2016-05-30,mobile,9375
2016-05-30,tablet,5555
2016-05-31,desktop,13164
2016-05-31,mobile,10791
2016-05-31,tablet,5888
2016-06-01,desktop,11607
2016-06-01,mobile,10330
2016-06-01,tablet,5237
2016-06-02,desktop,11480
2016-06-02,mobile,9833
2016-06-02,tablet,5125
2016-06-03,desktop,10183
2016-06-03,mobile,8919
2016-06-03,tablet,4376
2016-06-04,desktop,4607
2016-06-04,mobile,7817
2016-06-04,tablet,4305
2016-06-05,desktop,4790
2016-06-05,mobile,8649
2016-06-05,tablet,4916
2016-06-06,desktop,12194
2016-06-06,mobile,10491
2016-06-06,tablet,5207
2016-06-07,desktop,12692
2016-06-07,mobile,11237
2016-06-07,tablet,5433
2016-06-08,desktop,12377
2016-06-08,mobile,11002
2016-06-08,tablet,5367
2016-06-09,desktop,12291
2016-06-09,mobile,11151
2016-06-09,tablet,5150
2016-06-10,desktop,11357
2016-06-10,mobile,10562
2016-06-10,tablet,4980
2016-06-11,desktop,5041
2016-06-11,mobile,9522
2016-06-11,tablet,5159
2016-06-12,desktop,6009
2016-06-12,mobile,9748
2016-06-12,tablet,6515
2016-06-13,desktop,12157
2016-06-13,mobile,9816
2016-06-13,tablet,5182
2016-06-14,desktop,12353
2016-06-14,mobile,9829
2016-06-14,tablet,4972
2016-06-15,desktop,11243
2016-06-15,mobile,9220
2016-06-15,tablet,4573
2016-06-16,desktop,10666
2016-06-16,mobile,9301
2016-06-16,tablet,4567
2016-06-17,desktop,10321
2016-06-17,mobile,8972
2016-06-17,tablet,4372
2016-06-18,desktop,4517
2016-06-18,mobile,8155
2016-06-18,tablet,4577
2016-06-19,desktop,4939
2016-06-19,mobile,8875
2016-06-19,tablet,5443
2016-06-20,desktop,13770
2016-06-20,mobile,11466
2016-06-20,tablet,6207
2016-06-21,desktop,12634
2016-06-21,mobile,10603
2016-06-21,tablet,5390
2016-06-22,desktop,13285
2016-06-22,mobile,11799
2016-06-22,tablet,6058
2016-06-23,desktop,14595
2016-06-23,mobile,12278
2016-06-23,tablet,6391
2016-06-24,desktop,11234
2016-06-24,mobile,11169
2016-06-24,tablet,4626
2016-06-25,desktop,4748
2016-06-25,mobile,8758
2016-06-25,tablet,4675
2016-06-26,desktop,5205
2016-06-26,mobile,9283
2016-06-26,tablet,5513
2016-06-27,desktop,12477
2016-06-27,mobile,10294
2016-06-27,tablet,5055
2016-06-28,desktop,12808
2016-06-28,mobile,10579
2016-06-28,tablet,5249
2016-06-29,desktop,13425
2016-06-29,mobile,10992
2016-06-29,tablet,5453
2016-06-30,desktop,13183
2016-06-30,mobile,11212
2016-06-30,tablet,5874
2016-07-01,desktop,11807
2016-07-01,mobile,10616
2016-07-01,tablet,5181
2016-07-02,desktop,4881
2016-07-02,mobile,9452
2016-07-02,tablet,5156
2016-07-03,desktop,5499
2016-07-03,mobile,10067
2016-07-03,tablet,6201
2016-07-04,desktop,12309
2016-07-04,mobile,10696
2016-07-04,tablet,5119
2016-07-05,desktop,12231
2016-07-05,mobile,10197
2016-07-05,tablet,4805
2016-07-06,desktop,11216
2016-07-06,mobile,9678
2016-07-06,tablet,4466
2016-07-07,desktop,11748
2016-07-07,mobile,10767
2016-07-07,tablet,4774
2016-07-08,desktop,11147
2016-07-08,mobile,10870
2016-07-08,tablet,4825
2016-07-09,desktop,4868
2016-07-09,mobile,10896
2016-07-09,tablet,5139
2016-07-10,desktop,5602
2016-07-10,mobile,11331
2016-07-10,tablet,6413
2016-07-11,desktop,12542
2016-07-11,mobile,10994
2016-07-11,tablet,5518
2016-07-12,desktop,11823
2016-07-12,mobile,10472
2016-07-12,tablet,5006
2016-07-13,desktop,11809
2016-07-13,mobile,10373
2016-07-13,tablet,4647
2016-07-14,desktop,10835
2016-07-14,mobile,9809
2016-07-14,tablet,4344
2016-07-15,desktop,9905
2016-07-15,mobile,9094
2016-07-15,tablet,3941
2016-07-16,desktop,4285
2016-07-16,mobile,9403
2016-07-16,tablet,4212
2016-07-17,desktop,4707
2016-07-17,mobile,11382
2016-07-17,tablet,5019
2016-07-18,desktop,13741
2016-07-18,mobile,14028
2016-07-18,tablet,5521
2016-07-19,desktop,16453
2016-07-19,mobile,18263
2016-07-19,tablet,6989
2016-07-20,desktop,12403
2016-07-20,mobile,13386
2016-07-20,tablet,5770
2016-07-21,desktop,11577
2016-07-21,mobile,11366
2016-07-21,tablet,4948
2016-07-22,desktop,10043
2016-07-22,mobile,10627
2016-07-22,tablet,4225
2016-07-23,desktop,4622
2016-07-23,mobile,10403
2016-07-23,tablet,4715
2016-07-24,desktop,4986
2016-07-24,mobile,11249
2016-07-24,tablet,5647
2016-07-25,desktop,11242
2016-07-25,mobile,11317
2016-07-25,tablet,4903
2016-07-26,desktop,11575
2016-07-26,mobile,11746
2016-07-26,tablet,5206
2016-07-27,desktop,12282
2016-07-27,mobile,11528
2016-07-27,tablet,5381
2016-07-28,desktop,12202
2016-07-28,mobile,11608
2016-07-28,tablet,5666
2016-07-29,desktop,10340
2016-07-29,mobile,10339
2016-07-29,tablet,4768
2016-07-30,desktop,4644
2016-07-30,mobile,8904
2016-07-30,tablet,4622
2016-07-31,desktop,4617
2016-07-31,mobile,10483
2016-07-31,tablet,5181
2016-08-01,desktop,12284
2016-08-01,mobile,11955
2016-08-01,tablet,5644
2016-08-02,desktop,13184
2016-08-02,mobile,12431
2016-08-02,tablet,6109
2016-08-03,desktop,13086
2016-08-03,mobile,13057
2016-08-03,tablet,5972
2016-08-04,desktop,11643
2016-08-04,mobile,11201
2016-08-04,tablet,5111
2016-08-05,desktop,9639
2016-08-05,mobile,10249
2016-08-05,tablet,4447
2016-08-06,desktop,4528
2016-08-06,mobile,9987
2016-08-06,tablet,4790
2016-08-07,desktop,5982
2016-08-07,mobile,12045
2016-08-07,tablet,6931
2016-08-08,desktop,11030
2016-08-08,mobile,10734
2016-08-08,tablet,4900
2016-08-09,desktop,8339
2016-08-09,mobile,8094
2016-08-09,tablet,3632
2016-08-10,desktop,11094
2016-08-10,mobile,10921
2016-08-10,tablet,4728
2016-08-11,desktop,10451
2016-08-11,mobile,10976
2016-08-11,tablet,4717
2016-08-12,desktop,9585
2016-08-12,mobile,10103
2016-08-12,tablet,4145
2016-08-13,desktop,4312
2016-08-13,mobile,9873
2016-08-13,tablet,4403
2016-08-14,desktop,4318
2016-08-14,mobile,10273
2016-08-14,tablet,4833
2016-08-15,desktop,11634
2016-08-15,mobile,12696
2016-08-15,tablet,5245
2016-08-16,desktop,12060
2016-08-16,mobile,13040
2016-08-16,tablet,5192
2016-08-17,desktop,13566
2016-08-17,mobile,14746
2016-08-17,tablet,6620
2016-08-18,desktop,12825
2016-08-18,mobile,13561
2016-08-18,tablet,6285
