date,os,visits
2016-05-21,(not set),18
2016-05-21,Android,3180
2016-05-21,BlackBerry,29
2016-05-21,Chrome OS,44
2016-05-21,FreeBSD,2
2016-05-21,Linux,88
2016-05-21,Macintosh,1582
2016-05-21,Samsung,4
2016-05-21,Windows,4608
2016-05-21,Windows Phone,340
2016-05-21,iOS,11264
2016-05-22,(not set),14
2016-05-22,Android,3185
2016-05-22,BlackBerry,25
2016-05-22,Chrome OS,46
2016-05-22,FreeBSD,3
2016-05-22,Linux,84
2016-05-22,Macintosh,1680
2016-05-22,Nokia,2
2016-05-22,Samsung,7
2016-05-22,Windows,4293
2016-05-22,Windows Phone,328
2016-05-22,iOS,11466
2016-05-23,(not set),27
2016-05-23,Android,3075
2016-05-23,BlackBerry,24
2016-05-23,Chrome OS,34
2016-05-23,FreeBSD,3
2016-05-23,Linux,81
2016-05-23,Macintosh,1686
2016-05-23,Samsung,3
2016-05-23,Windows,10207
2016-05-23,Windows Phone,353
2016-05-23,Xbox,1
2016-05-23,iOS,10110
2016-05-24,(not set),23
2016-05-24,Android,3100
2016-05-24,BlackBerry,35
2016-05-24,Chrome OS,45
2016-05-24,FreeBSD,3
2016-05-24,Linux,69
2016-05-24,Macintosh,1710
2016-05-24,Nokia,1
2016-05-24,Samsung,2
2016-05-24,Windows,10385
2016-05-24,Windows Phone,306
2016-05-24,Xbox,4
2016-05-24,iOS,10484
2016-05-25,(not set),33
2016-05-25,Android,3189
2016-05-25,BlackBerry,35
2016-05-25,Chrome OS,44
2016-05-25,FreeBSD,3
2016-05-25,Linux,63
2016-05-25,Macintosh,1725
2016-05-25,Samsung,3
2016-05-25,Windows,10269
2016-05-25,Windows Phone,323
2016-05-25,Xbox,1
2016-05-25,iOS,10652
2016-05-26,(not set),34
2016-05-26,Android,4070
2016-05-26,Bada,1
2016-05-26,BlackBerry,40
2016-05-26,Chrome OS,45
2016-05-26,FreeBSD,3
2016-05-26,Linux,100
2016-05-26,Macintosh,2106
2016-05-26,Samsung,3
2016-05-26,Windows,12265
2016-05-26,Windows Phone,398
2016-05-26,Xbox,1
2016-05-26,iOS,14392
2016-05-27,(not set),15
2016-05-27,Android,3394
2016-05-27,BlackBerry,37
2016-05-27,Chrome OS,45
2016-05-27,FreeBSD,6
2016-05-27,Linux,100
2016-05-27,Macintosh,1597
2016-05-27,Samsung,2
2016-05-27,Windows,9967
2016-05-27,Windows Phone,322
2016-05-27,Xbox,1
2016-05-27,iOS,11558
2016-05-28,(not set),21
2016-05-28,Android,3392
2016-05-28,BlackBerry,38
2016-05-28,Chrome OS,33
2016-05-28,FreeBSD,5
2016-05-28,Linux,79
2016-05-28,Macintosh,1331
2016-05-28,Playstation Vita,1
2016-05-28,Samsung,3
2016-05-28,Windows,4065
2016-05-28,Windows Phone,318
2016-05-28,iOS,12092
2016-05-29,(not set),10
2016-05-29,Android,2905
2016-05-29,BlackBerry,26
2016-05-29,Chrome OS,32
2016-05-29,FreeBSD,4
2016-05-29,Linux,80
2016-05-29,Macintosh,1104
2016-05-29,Samsung,2
2016-05-29,Windows,3174
2016-05-29,Windows Phone,250
2016-05-29,iOS,10351
2016-05-30,(not set),30
2016-05-30,Android,3103
2016-05-30,BlackBerry,33
2016-05-30,Chrome OS,53
2016-05-30,FreeBSD,4
2016-05-30,Linux,65
2016-05-30,Macintosh,1490
2016-05-30,Nintendo Wii,1
2016-05-30,Nokia,1
2016-05-30,Samsung,6
2016-05-30,SymbianOS,2
2016-05-30,Windows,4267
2016-05-30,Windows Phone,300
2016-05-30,iOS,11332
2016-05-31,(not set),27
2016-05-31,Android,3724
2016-05-31,Bada,1
2016-05-31,BlackBerry,27
2016-05-31,Chrome OS,43
2016-05-31,FreeBSD,1
2016-05-31,Linux,77
2016-05-31,Macintosh,2058
2016-05-31,Nokia,1
