date,os_version,visits
2016-05-21,(not set),1
2016-05-21,10,1930
2016-05-21,7,1729
2016-05-21,8,84
2016-05-21,8.1,511
2016-05-21,Server 2003,7
2016-05-21,Vista,159
2016-05-21,XP,187
2016-05-22,(not set),2
2016-05-22,10,1944
2016-05-22,7,1506
2016-05-22,8,75
2016-05-22,8.1,492
2016-05-22,Server 2003,3
2016-05-22,Vista,140
2016-05-22,XP,131
2016-05-23,(not set),2
2016-05-23,10,2228
2016-05-23,7,6385
2016-05-23,8,85
2016-05-23,8.1,970
2016-05-23,Server 2003,38
2016-05-23,Vista,158
2016-05-23,XP,341
2016-05-24,(not set),2
2016-05-24,10,2104
2016-05-24,2000,1
2016-05-24,7,6585
2016-05-24,8,110
2016-05-24,8.1,1043
2016-05-24,Server 2003,49
2016-05-24,Vista,154
2016-05-24,XP,337
2016-05-25,(not set),1
2016-05-25,10,2221
2016-05-25,7,6388
2016-05-25,8,90
2016-05-25,8.1,1046
2016-05-25,Server 2003,47
2016-05-25,Vista,159
2016-05-25,XP,317
2016-05-26,(not set),2
2016-05-26,10,2695
2016-05-26,7,7721
2016-05-26,8,102
2016-05-26,8.1,1114
2016-05-26,Server 2003,45
2016-05-26,Vista,170
2016-05-26,XP,416
2016-05-27,(not set),2
2016-05-27,10,2032
2016-05-27,7,6339
2016-05-27,8,97
2016-05-27,8.1,915
2016-05-27,Server 2003,41
2016-05-27,Vista,164
2016-05-27,XP,377
2016-05-28,(not set),3
2016-05-28,10,1759
2016-05-28,7,1508
2016-05-28,8,71
2016-05-28,8.1,444
2016-05-28,Server 2003,8
2016-05-28,Vista,131
2016-05-28,XP,141
2016-05-29,(not set),3
2016-05-29,10,1483
2016-05-29,7,1058
2016-05-29,8,58
2016-05-29,8.1,383
2016-05-29,Server 2003,7
2016-05-29,Vista,89
2016-05-29,XP,93
2016-05-30,(not set),4
2016-05-30,10,1792
2016-05-30,7,1650
2016-05-30,8,67
2016-05-30,8.1,503
2016-05-30,Server 2003,4
2016-05-30,Vista,104
2016-05-30,XP,143
2016-05-31,10,2696
2016-05-31,7,6703
2016-05-31,8,98
2016-05-31,8.1,1121
2016-05-31,Server 2003,28
2016-05-31,Vista,170
2016-05-31,XP,406
2016-06-01,(not set),2
2016-06-01,10,2452
2016-06-01,7,5967
2016-06-01,8,107
2016-06-01,8.1,948
2016-06-01,Server 2003,30
2016-06-01,Vista,161
2016-06-01,XP,308
2016-06-02,(not set),3
2016-06-02,10,2292
2016-06-02,7,6089
2016-06-02,8,89
2016-06-02,8.1,928
2016-06-02,Server 2003,27
2016-06-02,Vista,155
2016-06-02,XP,309
2016-06-03,(not set),3
2016-06-03,10,1955
2016-06-03,7,5451
2016-06-03,8,96
2016-06-03,8.1,822
2016-06-03,Server 2003,26
2016-06-03,Vista,128
2016-06-03,XP,271
2016-06-04,(not set),1
2016-06-04,10,1494
2016-06-04,7,1317
2016-06-04,8,65
2016-06-04,8.1,387
2016-06-04,Server 2003,10
2016-06-04,Vista,84
2016-06-04,XP,112
2016-06-05,10,1573
2016-06-05,7,1192
2016-06-05,8,68
2016-06-05,8.1,402
2016-06-05,Server 2003,4
2016-06-05,Vista,88
2016-06-05,XP,106
2016-06-06,10,2450
2016-06-06,7,6417
2016-06-06,8,106
2016-06-06,8.1,1001
2016-06-06,Server 2003,34
2016-06-06,Vista,139
2016-06-06,XP,319
2016-06-07,10,2509
2016-06-07,7,6721
2016-06-07,8,93
2016-06-07,8.1,1043
2016-06-07,Server 2003,32
2016-06-07,Vista,169
2016-06-07,XP,336
2016-06-08,10,2351
2016-06-08,7,6702
2016-06-08,8,119
2016-06-08,8.1,1015
2016-06-08,Server 2003,31
2016-06-08,Vista,171
2016-06-08,XP,330
2016-06-09,10,2379
2016-06-09,7,6649
2016-06-09,8,100
2016-06-09,8.1,976
2016-06-09,Server 2003,33
2016-06-09,Vista,174
2016-06-09,XP,345
2016-06-10,10,2284
2016-06-10,7,6003
2016-06-10,8,88
2016-06-10,8.1,935
2016-06-10,Server 2003,35
2016-06-10,Vista,125
2016-06-10,XP,287
2016-06-11,10,1686
2016-06-11,7,1377
2016-06-11,8,56
2016-06-11,8.1,410
2016-06-11,Server 2003,7
